1,2,7,6
1,3,11,4
1,4,21,3
2,5,24,3
3,5,4,4
3,6,2,5
3,7,5,3
4,8,14,6
4,9,21,3
5,10,7,11
6,10,38,1
6,11,3,5
7,11,21,3
8,9,10,2
8,11,20,3
9,11,13,1
10,12,35,4
10,13,22,3
11,13,15,4
12,14,6,4
12,19,17,2
12,27,20,4
13,15,2,3
14,15,5,3
14,18,10,3
14,19,5,10
15,18,10,2
15,27,15,5
16,17,10,2
16,18,20,1
16,26,6,4
17,19,4,1
17,20,1,3
17,25,12,9
18,21,13,4
18,22,20,1
19,23,20,1
20,23,2,3
20,24,21,2
21,22,9,1
21,23,19,1
22,23,12,4
23,31,14,2
24,28,10,2
24,28,10,2
25,27,30,1
26,27,23,1
27,29,6,9
28,29,4,1
29,30,34,2
29,31,21,1
30,33,5,3
31,32,1,1
32,33,4,1
